Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,10uF,C15525
"C10, C11, C12, C15, C3, C4, C5, C6, C8, C9",0402,10,100nF,C1525
"C13, C14",0402,2,22pF,C1555
"C16, C17, C2, C7",0402,4,1uF,C52923
"CH1, CH2, CH3, CH4, CH5, CH6, CH7",SW_choc_v1_HS_1u,7,choc_SW_HS,C5333465
D1,D_SOD-123,1,Schottky Diode,C8598
D2,0805,1,GREEN,C2297
J2,TE_1-84953-4_1x14-1MP_P1.0mm_Horizontal,1,FFC Connector,C376047
J3,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,1,JST Connector,C160405
"R1, R2",0603,2,27,C25190
"R3, R8",0402,2,10k,C25744
"R4, R5",0402,2,1k,C11702
R6,0603,1,5.6k,C23189
R7,0603,1,10k,C25804
SW1,SW_SPST_SKQG_WithStem,1,Boot,C318884
U1,RP2040-QFN-56,1,RP2040,C2040
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U3,SOT-23,1,XC6206,C5446
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
