Designator,Mid X,Mid Y,Rotation,Layer
C1,95.561743,-81.672578,0.0,bottom
C10,94.698743,-77.187328,180.0,bottom
C11,90.634743,-64.614328,90.0,bottom
C12,94.698743,-75.663328,180.0,bottom
C13,82.506743,-60.78856,90.0,bottom
C14,89.209493,-61.04256,270.0,bottom
C15,84.741743,-85.457578,180.0,bottom
C16,95.601245,-91.9,0.0,bottom
C17,95.561743,-80.472578,180.0,bottom
C18,217.19937,-83.116398,0.0,bottom
C2,88.221743,-80.235328,270.0,bottom
C3,95.527743,-69.281685,135.0,bottom
C4,92.003493,-78.44156,270.0,bottom
C5,82.986493,-75.90156,270.0,bottom
C6,89.110743,-64.614328,90.0,bottom
C7,90.987493,-78.44156,270.0,bottom
C8,81.970493,-70.05956,45.0,bottom
C9,86.697743,-80.235328,270.0,bottom
CH1,37.834566,-118.142859,303.5,bottom
CH10,145.242642,-220.949138,181.2,bottom
CH11,167.768151,-191.286479,170.5,bottom
CH12,196.570692,-131.658447,196.2,bottom
CH13,188.811825,-107.793737,196.2,bottom
CH14,144.73353,-198.08516,181.2,bottom
CH15,167.878446,-146.03049,196.2,bottom
CH16,116.999656,-214.318666,181.3,bottom
CH17,173.697897,-125.18822,196.2,bottom
CH18,116.004051,-191.912718,188.89999999999998,bottom
CH19,91.168087,-198.736067,187.7,bottom
CH2,65.992669,-104.313906,303.5,bottom
CH20,86.344189,-168.599932,187.5,bottom
CH3,60.730556,-75.345087,303.5,bottom
CH4,146.226343,-52.322749,301.5,bottom
CH5,62.723254,-50.428907,303.5,bottom
CH6,169.467285,-43.985878,271.0,bottom
CH7,83.054696,-37.876002,303.5,bottom
CH8,168.341477,-213.56513,181.2,bottom
CH9,190.530421,-152.347342,196.2,bottom
D1,96.091743,-84.687578,270.0,bottom
D2,100.599243,-73.597578,0.0,bottom
D3,212.87187,-75.556398,180.0,bottom
F1,215.35932,-67.784898,90.0,bottom
J2,114.556245,-41.875,180.0,bottom
J3,89.396245,-97.275,0.0,bottom
J5,149.772057,-168.12756,299.1,bottom
J6,225.91437,-72.916398,270.0,bottom
J8,206.96937,-72.916398,90.0,bottom
R1,88.651743,-83.957578,90.0,bottom
R10,218.81932,-80.416398,180.0,bottom
R11,218.81932,-65.416398,180.0,bottom
R2,90.181743,-83.957578,90.0,bottom
R3,94.141743,-65.167578,0.0,bottom
R4,87.078743,-64.614328,270.0,bottom
R5,75.491743,-87.377578,90.0,bottom
R6,98.671743,-77.492578,90.0,bottom
R7,100.211743,-77.492578,270.0,bottom
R8,97.971743,-73.587578,180.0,bottom
R9,217.19937,-84.616398,180.0,bottom
SW1,77.251743,-92.597578,90.0,bottom
U1,88.221743,-72.202578,180.0,bottom
U2,79.091743,-83.547578,180.0,bottom
U3,95.121245,-89.4125,270.0,bottom
U4,212.951709,-72.903937,0.0,bottom
U5,213.023857,-78.216398,180.0,bottom
Y1,85.935743,-61.058328,0.0,bottom
