Designator,Mid X,Mid Y,Rotation,Layer
CH10,61.108971,-45.605613,336.1,bottom
CH11,43.074561,-87.21353,336.1,bottom
CH12,49.993637,-148.361217,347.20000000000005,bottom
CH13,68.738052,-165.773716,347.20000000000005,bottom
CH14,65.9224,-68.169844,332.0,bottom
CH15,68.517013,-121.296942,347.20000000000005,bottom
CH16,90.435084,-38.611672,336.09999999999997,bottom
CH17,73.643884,-142.809793,347.20000000000005,bottom
CH18,93.649779,-62.235342,336.09999999999997,bottom
CH20,115.745587,-47.061579,336.1,bottom
CH8,37.577908,-63.522995,336.1,bottom
CH9,45.140139,-126.876029,347.20000000000005,bottom
J5,73.65,-92.91,90.0,bottom
