Designator,Mid X,Mid Y,Rotation,Layer
CH10,51.918674,-44.553158,332.1,bottom
CH11,46.662511,-81.426517,321.4,bottom
CH12,50.494872,-147.53553,347.1,bottom
CH13,68.880607,-164.61444,347.1,bottom
CH14,63.483084,-64.283468,332.1,bottom
CH15,68.575726,-121.023584,347.1,bottom
CH16,79.821244,-36.611117,332.2,bottom
CH17,73.627186,-142.065185,347.1,bottom
CH18,91.587981,-55.704614,339.8,bottom
CH19,109.970521,-37.663953,338.6,bottom
CH20,128.841778,-61.650038,338.4,bottom
CH8,35.326658,-62.23888,332.1,bottom
CH9,45.710951,-126.520551,347.1,bottom
J5,73.65,-92.91,90.0,bottom
