Designator,Mid X,Mid Y,Rotation,Layer
C1,101.184764,-81.968277,0.0,bottom
C10,100.321763,-77.483027,180.0,bottom
C11,96.257763,-64.910027,90.0,bottom
C12,100.321763,-75.959027,180.0,bottom
C13,88.129763,-61.084259,90.0,bottom
C14,94.832513,-61.338259,270.0,bottom
C15,90.364764,-85.753277,180.0,bottom
C16,101.224266,-92.195699,0.0,bottom
C17,101.184763,-80.768277,180.0,bottom
C18,222.82239,-83.412097,0.0,bottom
C2,93.844763,-80.531027,270.0,bottom
C3,101.150764,-69.577385,135.0,bottom
C4,97.626513,-78.737259,270.0,bottom
C5,88.609513,-76.197259,270.0,bottom
C6,94.733764,-64.910027,90.0,bottom
C7,96.610514,-78.737259,270.0,bottom
C8,87.593513,-70.355259,45.0,bottom
C9,92.320763,-80.531027,270.0,bottom
CH1,43.457587,-118.438558,56.5,top
CH10,150.865662,-221.244837,178.8,top
CH11,173.39117,-191.582177,187.7,top
CH12,202.193712,-131.954146,163.8,top
CH13,194.434846,-108.089436,163.8,top
CH14,150.356551,-198.380859,178.8,top
CH15,173.501467,-146.326189,163.8,top
CH16,122.622676,-214.614365,178.7,top
CH17,179.320918,-125.483919,163.8,top
CH18,121.627071,-192.208417,171.10000000000002,top
CH19,96.791108,-199.031767,172.3,top
CH2,71.615689,-104.609605,56.5,top
CH20,91.96721,-168.895631,172.5,top
CH3,66.353576,-75.640786,56.5,top
CH4,151.849364,-52.618449,58.5,top
CH5,68.346274,-50.724606,56.5,top
CH6,175.090306,-44.281577,89.0,top
CH7,88.677717,-38.171701,56.5,top
CH8,173.964497,-213.860829,178.8,top
CH9,196.153442,-152.643041,163.8,top
D1,101.714763,-84.983277,270.0,bottom
D2,106.222264,-73.893277,0.0,bottom
D3,218.49489,-75.852097,180.0,bottom
F1,220.982341,-68.080597,90.0,bottom
J2,120.179266,-42.170699,180.0,bottom
J3,95.019266,-97.570699,0.0,bottom
J5,155.395077,-168.42326,299.1,bottom
J6,231.53739,-73.212097,270.0,bottom
J8,212.59239,-73.212097,90.0,bottom
R1,94.274764,-84.253277,90.0,bottom
R10,224.44234,-80.712097,180.0,bottom
R11,224.44234,-65.712097,180.0,bottom
R2,95.804763,-84.253277,90.0,bottom
R3,99.764764,-65.463277,0.0,bottom
R4,92.701763,-64.910027,270.0,bottom
R5,81.114763,-87.673277,90.0,bottom
R6,104.294763,-77.788277,90.0,bottom
R7,105.834764,-77.788277,270.0,bottom
R8,103.594763,-73.883277,180.0,bottom
R9,222.82239,-84.912097,180.0,bottom
SW1,82.874763,-92.893277,90.0,bottom
U1,93.844763,-72.498277,180.0,bottom
U2,84.714764,-83.843277,180.0,bottom
U3,100.744266,-89.708199,270.0,bottom
U4,218.574729,-73.199636,0.0,bottom
U5,218.646877,-78.512097,180.0,bottom
Y1,91.558763,-61.354027,0.0,bottom
