Designator,Mid X,Mid Y,Rotation,Layer
C1,101.865498,-89.072578,0.0,bottom
C10,101.002498,-84.587328,180.0,bottom
C11,96.938498,-72.014328,90.0,bottom
C12,101.002498,-83.063328,180.0,bottom
C13,88.810498,-68.18856,90.0,bottom
C14,95.513248,-68.44256,270.0,bottom
C15,91.045498,-92.857578,180.0,bottom
C16,101.905,-99.3,0.0,bottom
C17,101.865498,-87.872578,180.0,bottom
C2,94.525498,-87.635328,270.0,bottom
C3,101.831498,-76.681685,135.0,bottom
C4,98.307248,-85.84156,270.0,bottom
C5,89.290248,-83.30156,270.0,bottom
C6,95.414498,-72.014328,90.0,bottom
C7,97.291248,-85.84156,270.0,bottom
C8,88.274248,-77.45956,45.0,bottom
C9,93.001498,-87.635328,270.0,bottom
CH1,44.138321,-125.542859,303.5,bottom
CH2,72.296424,-111.713906,303.5,bottom
CH3,67.034311,-82.745087,303.5,bottom
CH4,152.530098,-59.722749,301.5,bottom
CH5,69.027009,-57.828907,303.5,bottom
CH6,175.77104,-51.385878,271.0,bottom
CH7,89.358451,-45.276002,303.5,bottom
D1,102.395498,-92.087578,270.0,bottom
D2,106.902998,-80.997578,0.0,bottom
J2,120.86,-49.275,180.0,bottom
J3,95.7,-104.675,0.0,bottom
R1,94.955498,-91.357578,90.0,bottom
R2,96.485498,-91.357578,90.0,bottom
R3,100.445498,-72.567578,0.0,bottom
R4,93.382498,-72.014328,270.0,bottom
R5,81.795498,-94.777578,90.0,bottom
R6,104.975498,-84.892578,90.0,bottom
R7,106.515498,-84.892578,270.0,bottom
R8,104.275498,-80.987578,180.0,bottom
SW1,83.555498,-99.997578,90.0,bottom
U1,94.525498,-79.602578,180.0,bottom
U2,85.395498,-90.947578,180.0,bottom
U3,101.425,-96.8125,270.0,bottom
Y1,92.239498,-68.458328,0.0,bottom
